AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL
AA,1581,N3KGAA,DFW,DCA,615,164,1192,959

DL,1610,N385DN,DEN,DTW,615,184,1123,1119

DL,1518,N591NW,MCO,ATL,620,91,404,751

UA,1026,N39423,MCO,IAH,621,153,854,754

UA,572,N404UA,AUS,IAH,630,61,140,731

DL,1984,N946DN,AUS,ATL,630,127,813,937

US,1718,N939UW,MCO,CLT,640,96,468,816

US,1943,N508AY,BWI,CLT,640,94,361,814

UA,536,N852UA,LAX,IAH,644,197,1379,1201

DL,1324,N908DE,BNA,ATL,645,74,214,859

DL,246,N391DA,SAN,JFK,645,314,2446,1459

DL,476,N196DN,LAX,JFK,650,319,2475,1509

UA,1510,N37255,SAN,IAH,653,188,1303,1201

AA,299,N857AA,MIA,DEN,655,267,1709,922

DL,1818,N555NW,ATL,MCO,655,87,404,822

AA,1553,N3JNAA,DCA,MIA,659,165,919,944

US,852,N715UW,JAX,CLT,700,87,328,827

US,1877,N826AW,CLT,MIA,700,119,650,859

US,1961,N566UW,IAH,CLT,700,142,912,1022

UA,463,N482UA,LGA,ORD,700,159,733,839

UA,1027,N38424,SFO,IAH,700,232,1635,1252

US,461,N540UW,ATL,CLT,700,72,226,812

AA,17,N019AA,ATL,MIA,700,112,594,852

AA,68,N5EGAA,SFO,MIA,700,324,2585,1524

AA,2451,N3HTAA,LGA,MIA,700,197,1096,1017

DL,872,N938DN,DCA,ATL,700,126,547,906

DL,2151,N329NW,MIA,LGA,700,179,1096,959

DL,1506,N812DN,LAX,DTW,700,267,1979,1427

UA,296,N470UA,ORD,DEN,702,165,888,847

DL,1080,N952DN,STL,ATL,705,99,484,944

DL,2109,N550NW,SAN,DTW,705,259,1956,1424

UA,112,N73270,LAS,IAH,710,179,1222,1209

US,748,N183UW,SFO,CLT,715,292,2296,1507

US,821,N107US,MSY,CLT,715,112,651,1007

AA,61,N850AA,MIA,DFW,715,199,1121,934

AA,1254,N3JFAA,MIA,ORD,715,204,1197,939

DL,2124,N617DL,MSY,ATL,715,87,425,942

DL,1501,N664DN,BOS,ATL,715,189,946,1024

UA,407,N845UA,IAH,BWI,720,176,1235,1116

UA,616,N488UA,SFO,ORD,720,257,1846,1337

UA,1531,N27908,IAH,SFO,720,254,1635,934

AA,1173,N020AA,IAD,MIA,720,166,921,1006

AA,1552,N3JBAA,BWI,MIA,720,164,946,1004

UA,649,N827UA,LAS,DEN,723,116,628,1019

UA,357,N465UA,IAH,IAD,725,174,1190,1119

US,1967,N523UW,ORD,CLT,725,119,599,1024

DL,810,N314NB,IAH,ATL,725,121,689,1026

UA,1522,N12216,LGA,IAH,729,243,1416,1032

UA,1746,N18223,ATL,SFO,729,335,2139,1004

AA,1695,N3KBAA,MCO,MIA,730,62,192,832

DL,369,N144DA,LAX,ATL,730,252,1947,1442

DL,2103,N960DN,ATL,MIA,730,116,594,926

DL,1946,N333NW,DEN,LGA,730,229,1620,1319

UA,1524,N69829,ORD,IAH,734,173,925,1027

UA,328,N821UA,MIA,DEN,735,271,1709,1006

US,761,N151UW,LAX,CLT,735,266,2125,1501

US,1923,N829AW,MEM,CLT,735,104,511,1019

UA,1741,N57870,LAX,IAD,735,281,2288,1516

DL,240,N803DN,SFO,ATL,740,271,2139,1511

DL,1625,N810DN,BWI,ATL,740,126,577,946

UA,794,N837UA,IAD,ORD,742,129,589,851

UA,1219,N39450,AUS,DEN,743,138,775,901

UA,408,N537UA,SFO,IAD,745,299,2419,1544

US,1730,N801AW,STL,CLT,745,112,575,1037

UA,546,N514UA,SAN,IAD,745,282,2253,1527

DL,732,N3773D,JAX,ATL,745,79,270,904

DL,1430,N957AT,BNA,ATL,745,76,214,1001

UA,1547,N36444,MCO,IAH,747,155,854,922

UA,1732,N66831,MIA,IAH,750,172,964,942

AA,1541,N5DMAA,BOS,MIA,750,216,1258,1126

DL,1593,N957DL,MEM,ATL,750,81,332,1011

UA,756,N491UA,DEN,IAH,758,136,862,1114

US,2093,N567UW,LGA,CLT,759,125,544,1004

DL,1647,N965DL,LGA,ATL,759,168,762,1047

UA,332,N451UA,BWI,IAH,800,212,1235,1032

UA,500,N844UA,IND,SFO,800,304,1943,1004

UA,1610,N37427,ORD,MCO,800,162,1005,1142

UA,1620,N24729,ORD,LGA,800,129,733,1109

US,514,N722US,IAH,MIA,800,141,964,1121

AA,306,N859AA,LAX,MIA,800,292,2342,1552

DL,873,N303DQ,STT,ATL,800,246,1599,1106

DL,1139,N999DN,DCA,ATL,800,124,547,1004

DL,2030,N332NW,MDW,ATL,800,117,591,1057

UA,559,N805UA,DCA,IAH,801,213,1208,1034

UA,1235,N78501,IAD,SFO,802,372,2419,1114

UA,456,N830UA,DEN,LAX,804,155,862,939

UA,1073,N14704,IAD,DEN,805,246,1452,1011

UA,1173,N56859,SFO,HNL,805,334,2398,1139

UA,1646,N27205,MSY,IAH,805,77,305,922

DL,1308,N935DN,AUS,ATL,805,126,813,1111

UA,1509,N24702,IAD,IAH,808,208,1190,1036

DL,2190,N900DE,JFK,MIA,810,202,1089,1132

DL,55,N953AT,ATL,IAH,810,142,689,932

UA,796,N494UA,IAD,LAS,811,320,2065,1031

AA,2243,N3HCAA,LGA,MIA,812,197,1096,1129

UA,270,N479UA,BWI,DEN,815,246,1491,1021

US,2053,N114UW,DTW,CLT,815,117,500,1012

AA,1652,N015AA,ATL,MIA,815,117,594,1012

DL,2441,N975AT,ATL,MEM,815,89,332,844

UA,484,N809UA,SAN,DEN,820,146,853,1146

UA,1074,N78866,IAD,DEN,820,242,1452,1022

UA,1460,N75426,LAX,SFO,820,99,337,959

DL,2013,N680DA,ATL,LAS,820,277,1747,957

DL,2416,N894AT,MCO,JFK,820,152,944,1052

DL,1759,N908DL,IND,ATL,820,106,432,1006

DL,2183,N904DL,ATL,ORD,821,131,606,932

UA,1209,N14250,LAX,DEN,823,141,862,1144

UA,1014,N26210,AUS,IAH,825,59,140,924

US,1753,N127UW,MIA,CLT,830,126,650,1036

UA,443,N587UA,JFK,LAX,830,387,2475,1157

UA,1662,N73299,DCA,SFO,830,382,2442,1152

AA,275,N634AA,MCO,MIA,830,67,192,937

AA,1082,N3HRAA,MIA,LGA,830,172,1096,1122

AA,1085,N635AA,JFK,MIA,830,204,1089,1154

DL,485,N910DE,JFK,ATL,830,166,760,1116

DL,2050,N374NW,BOS,MCO,830,204,1121,1154

UA,549,N802UA,ORD,PDX,835,277,1739,1112

DL,454,N699DL,JFK,STT,835,241,1623,1336

DL,1444,N920DN,DTW,DCA,835,104,405,1019

UA,1086,N27733,DTW,IAH,837,199,1075,1056

UA,1148,N37470,MCO,SFO,839,375,2446,1154

UA,306,N440UA,LAX,BWI,840,296,2329,1636

UA,567,N529UA,IAD,SFO,840,367,2419,1147

UA,496,N436UA,SFO,PDX,842,112,550,1034

DL,1319,N389DA,DTW,ORD,844,95,235,919

US,713,N631AW,JAX,CLT,845,87,328,1012

UA,1563,N38454,IAH,SAN,845,214,1303,1019

UA,1744,N16713,LGA,IAH,845,254,1416,1159

DL,583,N557NW,BOS,DTW,845,144,632,1109

DL,1893,N523US,DTW,ATL,845,136,594,1101

UA,382,N438UA,ORD,IAD,849,107,589,1136

UA,745,N454UA,IAH,LGA,849,207,1416,1316

US,2065,N541UW,ATL,CLT,850,77,226,1007

UA,898,N546UA,SFO,JFK,850,336,2586,1726

UA,145,N76064,IAD,HNL,855,636,4817,1431

US,876,N206UW,BWI,CLT,855,94,361,1029

DL,833,N6712B,DTW,SAN,855,309,1956,1104

US,657,N637AW,MCI,CLT,900,126,808,1206

UA,711,N443UA,LGA,ORD,900,159,733,1039

UA,1485,N39423,IAH,LAS,900,204,1222,1024

UA,1683,N45905,IAH,DEN,900,152,862,1032

AA,1350,N5CFAA,STT,MIA,900,179,1107,1059

DL,340,N325NB,MIA,LGA,900,172,1096,1152

DL,761,N918DE,MEM,ATL,900,77,332,1117

DL,2022,N816DN,JFK,DTW,900,137,509,1117

DL,1631,N586NW,SFO,ATL,900,271,2139,1631

DL,1825,N905DE,BWI,ATL,900,127,577,1107

DL,748,N374DA,ATL,DTW,904,120,594,1104

US,691,N520UW,ORD,CLT,905,116,599,1201

US,1829,N548UW,PDX,CLT,905,281,2282,1646

UA,663,N215UA,SFO,HNL,905,324,2398,1229

UA,217,N526UA,IAD,SFO,910,359,2419,1209

UA,1483,N36447,MCO,IAD,910,127,758,1117

AA,2259,N3HBAA,ORD,MIA,910,182,1197,1312

DL,16,N199DN,LAX,JFK,910,326,2475,1736

UA,1185,N38451,ORD,IAH,911,173,925,1204

UA,1702,N35407,DFW,DEN,914,128,641,1022

US,1806,N563UW,LAX,CLT,915,271,2125,1646

US,2047,N104UW,CLT,MSY,915,119,651,1014

AA,2316,N3BVAA,STX,MIA,915,187,1139,1122

US,1772,N555AY,CLT,DFW,920,172,936,1112

US,1830,N825AW,CLT,JFK,920,102,541,1102

UA,195,N38459,ORD,MCO,923,164,1005,1307

UA,1110,N76515,DFW,ORD,923,136,802,1139

US,1842,N747UW,MEM,CLT,925,97,511,1202

US,1869,N745VJ,STL,CLT,925,107,575,1212

US,1931,N828AW,CLT,MEM,925,109,511,1014

AA,1521,N858AA,MIA,LAS,925,332,2174,1157

UA,672,N808UA,IAH,ORD,927,165,925,1212

UA,702,N405UA,MCO,ORD,930,169,1005,1119

UA,1222,N77258,LAX,HNL,930,361,2556,1331

AA,148,N3EJAA,CLT,MIA,930,131,650,1141

AA,1299,N3HYAA,MIA,DCA,930,149,919,1159

DL,928,N335NW,DEN,LGA,930,221,1620,1511

DL,1744,N978DL,DCA,DTW,930,102,405,1112

DL,1818,N555NW,MCO,ATL,930,92,404,1102

UA,791,N442UA,BOS,IAD,935,104,413,1119

US,445,N187US,CLT,DEN,935,226,1337,1121

US,529,N665AW,BOS,CLT,935,149,728,1204

AA,1179,N3JUAA,MIA,IAH,935,177,964,1132

DL,1316,N6705Y,ATL,DEN,935,212,1199,1107

UA,261,N408UA,LAS,IAH,939,182,1222,1441

AA,1391,N851AA,MIA,MCO,939,67,192,1046

US,1960,N626AW,CLT,BWI,940,87,361,1107

US,1977,N742PS,CLT,IND,940,104,427,1124

UA,427,N409UA,IAD,DEN,940,246,1452,1146

DL,1672,N905DL,ATL,DFW,942,157,731,1119

DL,571,N695DL,ATL,STT,944,218,1599,1422

DL,1063,N963DN,ATL,LGA,945,134,762,1159

DL,1601,N931DL,BOS,ATL,945,184,946,1249

UA,1087,N18220,IAD,ORD,948,126,589,1054

UA,1168,N75432,ORD,DEN,948,168,888,1136

US,1946,N915US,CLT,ORD,950,134,599,1104

DL,1118,N943DN,ATL,AUS,950,162,813,1132

DL,1455,N689DL,ATL,LAX,951,313,1947,1204

UA,203,N811UA,DEN,AUS,955,129,775,1304

UA,1067,N54241,SFO,LAX,955,94,337,1129

DL,1258,N955DN,ATL,JAX,955,67,270,1102

UA,495,N455UA,DEN,IAD,957,197,1452,1514

US,1882,N102UW,LGA,CLT,959,127,544,1206

US,2031,N826AW,MIA,CLT,959,133,650,1212

UA,268,N470UA,DEN,SFO,1000,172,967,1152

US,1910,N580UW,CLT,LGA,1000,114,544,1154

UA,570,N667UA,IAH,SFO,1000,262,1635,1222

UA,1549,N36469,DEN,MCO,1000,209,1546,1529

DL,430,N624AG,JFK,SFO,1000,392,2586,1332

DL,958,N942DN,MSY,ATL,1000,82,425,1222

DL,1190,N917DE,ATL,MIA,1000,122,594,1202

DL,1257,N355NW,DTW,ATL,1000,132,594,1212

DL,1847,N909DE,LGA,ATL,1000,176,762,1256

US,1880,N746UW,DCA,MCO,1005,144,759,1229

UA,1703,N35271,ORD,SFO,1005,287,1846,1252

DL,1100,N938DN,ATL,BOS,1005,154,946,1239

DL,2460,N956AT,HOU,ATL,1006,115,696,1301

DL,1570,N966AT,ATL,STL,1006,111,484,1057

UA,1020,N67815,DEN,IAH,1007,142,862,1329

UA,1018,N14230,LGA,IAH,1010,257,1416,1327

AA,1580,N634AA,MIA,JFK,1010,169,1089,1259

UA,219,N779UA,ORD,HNL,1015,554,4243,1529

US,1766,N721UW,IAH,CLT,1015,142,912,1337

UA,552,N831UA,IAH,ORD,1015,156,925,1251

UA,690,N548UA,DEN,ORD,1015,146,888,1341

US,428,N546UW,DEN,CLT,1015,186,1337,1521

US,453,N806AW,DTW,CLT,1015,111,500,1206

AA,112,N857AA,DEN,MIA,1015,224,1709,1559

AA,1650,N397AA,MCO,MIA,1015,71,192,1126

DL,404,N6701,JFK,LAS,1015,351,2248,1306

DL,2183,N904DL,ORD,ATL,1015,116,606,1311

US,2091,N189UW,DFW,CLT,1020,141,936,1341

UA,1577,N33203,DEN,LGA,1020,222,1620,1602

DL,2418,N975AT,MEM,ATL,1020,76,332,1236

UA,478,N830UA,LAX,ORD,1024,248,1744,1632

DL,1138,N912DL,ATL,IND,1025,101,432,1206

US,629,N559UW,MCO,CLT,1030,101,468,1211

US,1890,N750UW,BWI,CLT,1030,89,361,1159

UA,1079,N69810,DEN,MIA,1031,248,1709,1639

UA,1727,N36247,BOS,SFO,1034,417,2704,1431

UA,1224,N27213,LAX,HNL,1040,361,2556,1441

UA,1474,N76508,SFO,DFW,1040,214,1464,1614

UA,392,N549UA,SFO,LAS,1045,96,414,1221

UA,589,N806UA,ORD,IAH,1045,177,925,1342

DL,1075,N372DA,DEN,JFK,1045,219,1626,1624

DL,1286,N901DA,ATL,LGA,1045,131,762,1256

DL,2310,N921DL,DFW,ATL,1045,121,731,1346

UA,1751,N69818,ORD,MCO,1047,162,1005,1429

DL,1391,N919AT,ATL,HOU,1049,147,696,1216

DL,1640,N906DL,ATL,DTW,1049,125,594,1254

DL,1089,N904DE,IND,ATL,1051,96,432,1227

UA,324,N516UA,LAX,IAD,1055,287,2288,1842

US,2002,N828AW,MEM,CLT,1055,97,511,1332

UA,1169,N87531,LAX,IAH,1055,191,1379,1606

AA,1615,N376AA,MIA,DFW,1055,197,1121,1312

AA,1646,N7BHAA,JFK,MIA,1055,184,1089,1359

DL,1239,N993DL,ATL,DFW,1055,154,731,1229

UA,948,N466UA,DEN,IAD,1056,193,1452,1609

UA,1710,N66828,MCO,ORD,1057,170,1005,1247

UA,753,N814UA,SFO,AUS,1059,213,1504,1632

US,1810,N104UW,MSY,CLT,1100,107,651,1347

UA,471,N456UA,SFO,SAN,1100,91,447,1231

AA,1424,N3GJAA,MIA,DEN,1100,274,1709,1334

DL,839,N920DN,DCA,ATL,1100,122,547,1302

DL,2389,N802DN,SFO,DTW,1100,279,2079,1839

DL,150,N692DL,ATL,DCA,1100,104,547,1244

DL,1801,N956DN,BOS,ATL,1100,186,946,1406

DL,1947,N958AT,LGA,ATL,1100,164,762,1344

UA,247,N453UA,IAH,MIA,1103,141,964,1424

UA,731,N476UA,LAX,SFO,1104,95,337,1239

UA,1128,N68821,DEN,PDX,1105,171,991,1256

DL,1617,N339NB,LGA,MIA,1105,206,1096,1431

DL,1282,N961DN,MIA,DTW,1110,191,1145,1421

DL,1412,N893AT,ATL,BNA,1110,72,214,1122

UA,336,N829UA,BOS,IAH,1114,273,1597,1447

US,2093,N567UW,CLT,DFW,1115,169,936,1304

AA,1582,N5EYAA,BOS,MIA,1115,212,1258,1447

AA,1658,N3FWAA,MIA,DCA,1115,152,919,1347

DL,1200,N939DN,ATL,BOS,1115,152,946,1347

DL,1806,N594NW,LAX,DTW,1115,266,1979,1841

UA,591,N494UA,LAS,IAH,1116,180,1222,1616

UA,1424,N38458,DEN,SAN,1117,144,853,1241

US,1729,N938UW,CLT,MCO,1120,96,468,1256

UA,1126,N73251,DEN,ANC,1120,357,2405,1517

UA,1491,N76254,DEN,IAD,1120,194,1452,1634

DL,1431,N899AT,IAD,ATL,1123,118,534,1321

UA,300,N211UA,SFO,HNL,1125,324,2398,1449

DL,2018,N830DN,MCO,ATL,1125,94,404,1259

UA,1171,N77066,DEN,SFO,1127,167,967,1314

UA,1642,N78866,DEN,IAH,1127,140,862,1447

US,706,N572UW,LAS,CLT,1130,251,1916,1841

US,1892,N557UW,MIA,CLT,1130,129,650,1339

US,1924,N633AW,CLT,BWI,1130,84,361,1254

US,1937,N509AY,CLT,BOS,1130,127,728,1337

US,1964,N830AW,CLT,MCI,1130,154,808,1304

US,2112,N959UW,DCA,BOS,1130,82,399,1252

AA,1246,N3HNAA,MIA,LGA,1130,177,1096,1427

DL,566,N3751B,MIA,ATL,1130,121,594,1331

DL,1693,N896AT,ORD,ATL,1130,119,606,1429

DL,1570,N966AT,STL,ATL,1132,92,484,1404

US,850,N816AW,CLT,BNA,1135,86,328,1201

UA,426,N848UA,IAH,LGA,1136,206,1416,1602

UA,1506,N14214,SFO,ORD,1138,261,1846,1759

UA,1149,N69830,MCO,DEN,1139,247,1546,1346

UA,340,N428UA,SAN,IAH,1140,189,1303,1649

US,1862,N179UW,CLT,ORD,1140,131,599,1251

US,2071,N117UW,CLT,ATL,1140,79,226,1259

UA,574,N490UA,SFO,IAD,1140,309,2419,1949

AA,2372,N860AA,MIA,DFW,1145,197,1121,1402

DL,1662,N311US,BNA,DTW,1145,102,456,1427

US,1800,N839AW,MSY,MIA,1150,107,675,1437

US,2064,N538UW,CLT,LGA,1150,112,544,1342

US,466,N568UW,CLT,DEN,1150,231,1337,1341

AA,1391,N851AA,MCO,MIA,1150,64,192,1254

AA,931,N359AA,SFO,MIA,1155,321,2585,2016

DL,2369,N801DZ,ATL,MCO,1155,86,404,1321

US,1934,N769US,DCA,CLT,1159,88,331,1327

DL,2658,N3747D,LAS,JFK,1159,290,2248,1949

US,1830,N825AW,JFK,CLT,1200,119,541,1359

US,1859,N626AW,BWI,CLT,1200,87,361,1327

UA,461,N426UA,LGA,DEN,1200,274,1620,1434

UA,1716,N57857,HNL,LAX,1200,326,2556,1926

DL,445,N925DL,JFK,ATL,1200,157,760,1437

DL,781,N806DN,LGA,ATL,1200,167,762,1447

DL,1163,N389DA,ORD,DTW,1200,82,235,1422

AA,1462,N852AA,DFW,MIA,1200,161,1121,1541

DL,2148,N978DL,DTW,LGA,1200,106,502,1346

US,863,N742PS,IND,CLT,1205,94,427,1339

US,1972,N172US,MCO,CLT,1205,99,468,1344

UA,1181,N75854,SFO,IAH,1205,227,1635,1752

UA,1723,N57855,ORD,SFO,1205,282,1846,1447

DL,1613,N935DN,ATL,IND,1205,94,432,1339

DL,2573,N397DA,ATL,MDW,1206,118,591,1304

UA,1746,N76505,SFO,LAS,1207,97,414,1344

US,1738,N176UW,DFW,CLT,1210,139,936,1529

AA,1044,N389AA,ORD,MIA,1210,186,1197,1616

DL,158,N676DL,DTW,BOS,1210,116,632,1406

UA,1046,N37413,LAS,SFO,1211,96,414,1347

DL,1218,N986DL,ATL,JFK,1212,137,760,1429

US,2072,N187US,DEN,CLT,1215,184,1337,1719

DL,629,N375DA,ATL,DTW,1215,121,594,1416

DL,2526,N900DE,MIA,LGA,1215,177,1096,1512

DL,2028,N977AT,DTW,MCO,1216,163,957,1459

UA,382,N465UA,IAD,LAX,1220,352,2288,1512

US,1760,N624AW,JAX,CLT,1220,79,328,1339

US,514,N722US,MIA,DCA,1220,149,919,1449

AA,1293,N3DSAA,MIA,STX,1220,162,1139,1602

AA,2228,N639AA,MIA,STT,1220,156,1107,1556

DL,1655,N1612T,ATL,LAX,1220,309,1947,1429

UA,353,N802UA,PDX,SFO,1224,107,550,1411

UA,735,N414UA,IAD,DEN,1225,246,1452,1431

UA,1267,N13248,LGA,ORD,1225,161,733,1406

DL,2075,N952DN,MCI,ATL,1225,116,692,1521

DL,1754,N814DN,LAX,ATL,1225,252,1947,1937

AA,1210,N397AA,MIA,MCO,1226,66,192,1332

UA,456,N833UA,LAX,SFO,1230,81,337,1351

UA,1067,N68801,LAX,MSY,1230,221,1670,1811

AA,2318,N3HCAA,MIA,LGA,1230,179,1096,1529

DL,1437,N919DE,DTW,BWI,1230,97,409,1407

UA,1168,N87512,DEN,MSY,1231,156,1062,1607

UA,1175,N36447,IAD,MCO,1231,141,758,1452

UA,1271,N75432,DEN,ORD,1231,148,888,1559

UA,1087,N21723,ORD,SAN,1232,270,1723,1502

UA,1605,N37427,MCO,ORD,1232,175,1005,1427

DL,814,N374NW,MCO,BOS,1235,167,1121,1522

DL,1418,N584NW,MCO,ATL,1235,97,404,1412

UA,719,N855UA,ORD,DFW,1242,160,802,1522

UA,1234,N14250,DEN,MCO,1242,207,1546,1809

DL,1423,N332NW,ATL,STL,1242,107,484,1329

UA,754,N434UA,DEN,LGA,1245,224,1620,1829

DL,1095,N988DL,CLT,ATL,1245,84,226,1409

DL,1486,N995DL,ATL,LGA,1245,134,762,1459

DL,1771,N927AT,ATL,MEM,1245,84,332,1309

UA,795,N487UA,DEN,IAD,1250,191,1452,1801

UA,1467,N69819,IAH,ORD,1250,162,925,1532

US,626,N152UW,BOS,CLT,1250,144,728,1514

AA,1299,N3HYAA,DCA,MIA,1250,159,919,1529

DL,1727,N3736C,DTW,SFO,1250,316,2079,1506

UA,1143,N14102,IAD,ORD,1251,130,589,1401

UA,1431,N75851,LAX,HNL,1252,347,2556,1639

UA,1749,N77510,IAH,SFO,1253,254,1635,1507

UA,233,N425UA,LAX,IAH,1255,197,1379,1812

US,1821,N744P,MSY,CLT,1255,104,651,1539

UA,737,N427UA,IAH,DEN,1259,150,862,1429

UA,1634,N66825,IAH,BOS,1259,218,1597,1737

DL,1820,N343NB,ATL,BOS,1259,150,946,1529

UA,373,N820UA,IAH,IAD,1300,176,1190,1656

US,1843,N580UW,LGA,CLT,1300,119,544,1459

US,1869,N745VJ,CLT,DTW,1300,109,500,1449

US,2180,N957UW,DCA,LGA,1300,89,214,1429

UA,1148,N57863,SFO,IAD,1300,299,2419,2059

UA,1190,N87507,LAX,IAD,1300,297,2288,2057

DL,432,N718TW,JFK,SFO,1300,397,2586,1637

DL,2147,N963DN,LGA,ATL,1300,164,762,1544

UA,1511,N27733,IAH,LGA,1302,207,1416,1729

US,691,N520UW,CLT,MCO,1304,98,468,1442

UA,1671,N68453,IAH,MIA,1304,142,964,1626

US,657,N637AW,CLT,IAH,1305,164,912,1449

US,893,N170US,CLT,DFW,1305,172,936,1457

US,1734,N741UW,CLT,DCA,1305,77,331,1422

US,2066,N118US,CLT,LGA,1305,107,544,1452

AA,1508,N5DMAA,MIA,JFK,1305,177,1089,1602

DL,2342,N916DN,ATL,JAX,1305,67,270,1412

UA,342,N841UA,IAH,MSY,1306,70,305,1416

US,1973,N837AW,CLT,IND,1310,102,427,1452

UA,1236,N77867,ORD,IAD,1311,118,589,1609

US,873,N123UW,CLT,ATL,1314,83,226,1437

US,629,N559UW,CLT,BOS,1315,126,728,1521

US,1890,N750UW,CLT,MCI,1315,152,808,1447

UA,1294,N39415,MCO,IAH,1315,156,854,1451

AA,2251,N3FBAA,CLT,MIA,1315,126,650,1521

DL,2582,N917DE,MIA,LGA,1315,181,1096,1616

US,1849,N740UW,CLT,JAX,1319,82,328,1441

UA,1159,N78501,SFO,LAX,1323,96,337,1459

UA,769,N801UA,LAX,LAS,1325,77,236,1442

DL,1325,N371DA,LAX,MSY,1325,216,1670,1901

AA,1110,N3CKAA,LGA,DFW,1329,250,1389,1639

DL,981,N938DN,BOS,ATL,1330,184,946,1634

UA,1424,N38458,SAN,SFO,1331,93,447,1504

DL,1125,N975AT,ATL,IAD,1334,102,534,1516

AA,1605,N5FPAA,MIA,DFW,1335,192,1121,1547

UA,432,N842UA,ORD,CLT,1336,113,599,1629

DL,1495,N982DL,BWI,ATL,1340,122,577,1542

DL,1534,N973DL,ATL,IND,1340,94,432,1514

US,1802,N829AW,DCA,CLT,1345,87,331,1512

DL,1425,N931DL,ATL,BWI,1345,109,577,1534

DL,2133,N322US,ATL,CLT,1345,69,226,1454

DL,2573,N397DA,MDW,ATL,1345,119,591,1644

DL,1771,N927AT,MEM,ATL,1345,77,332,1602

UA,1421,N76528,LGA,IAH,1347,252,1416,1659

UA,1256,N33209,LAX,IAH,1348,194,1379,1902

UA,1502,N17233,ORD,IAH,1349,177,925,1646

US,1754,N763US,AUS,CLT,1350,151,1032,1721

US,1889,N752US,DTW,CLT,1350,106,500,1536

UA,785,N509UA,DEN,LAX,1350,154,862,1524

UA,1188,N28478,IAH,MCO,1350,137,854,1707

DL,926,N6702,STT,ATL,1350,244,1599,1654

DL,1499,N920DN,ATL,DEN,1350,212,1199,1522

DL,1951,N964DN,ATL,MIA,1350,119,594,1549

UA,1676,N68821,PDX,ORD,1351,236,1739,1947

DL,1116,N994AT,ATL,MDW,1351,118,591,1449

